Owner	Route	STR NO	Structure Name	MP xxxx.xxx	Latitude ddmmss.ss	Longitude ddmmss.ss	County	Municipality
State Routes	80	1415152	ROUTE I-80 EASTBOUND OVER ROCKAWAY RIVER	0047.340	40.514342	-74.205625	MORRIS	
State Routes	80	1415153	ROUTE I-80 WB OVER ROCKAWAY RIVER	0047.340	40.514482	-74.205731	MORRIS	
State Routes	80	1415154	CHANGE BRIDGE ROAD (CR 621) OVER ROUTE I-80	0000.210	40.514083	-74.203551	MORRIS	Montville township
State Routes	80	1415155	ROUTE I-80 EB OVER HOOK MOUNTAIN ROAD	0047.830	40.514135	-74.202346	MORRIS	Montville township
State Routes	80	1415156	I80 WESTBOUND OVER HOOK MOUNTAIN ROAD	0047.830	40.514271	-74.202291	MORRIS	Montville township
State Routes	80	1415157	I-80 EB OVER PASSAIC RIVER.	0048.460	40.520098	-74.195136	MORRIS	Montville township
State Routes	80	1415158	I-80 WB OVER PASSAIC RIVER	0048.460	40.52019	-74.195306	MORRIS	Montville township
State Routes	80	1420152	I-80 RAMPS A&C OVER I87 NB	0043.670	40.51558	-74.24593	MORRIS	
State Routes	80	1427150	International Dr (Waterloo Rd) over I-80	0005.120	40.542748	-74.434012	MORRIS	
State Routes	80	1427151	INTERNATIONAL DR OVER WILLS BROOK	0005.200	40.543	-74.4336	MORRIS	Netcong borough
State Routes	80	1427152	I-80 & RAMP A [US 206 SB to I-80 WB]/ WILLIS BROOK	0025.190	40.542274	-74.433228	MORRIS	Netcong borough
State Routes	80	1427153	I-80 EB / US 206 SB & I-80 EB RAMP [TO US 206 NB]	0025.250	40.54207	-74.43297	MORRIS	Mount Olive township
State Routes	80	1427154	I-80 WB / US 206 SB & I-80 EB RAMP [TO US 206 NB]	0025.250	40.542148	-74.432802	MORRIS	Mount Olive township
State Routes	80	1431150	I-80 EB OVER US 46 & CONRAIL	0026.250	40.533756	-74.425616	MORRIS	Mount Olive township
State Routes	80	1431151	I-80 WB / US RT.46  AND CONRAIL	0026.210	40.533637	-74.42521	MORRIS	Netcong borough
State Routes	80	1431152	I-80 RAMP Y OVER US 46 EB	0026.250	40.537338	-74.424787	MORRIS	Netcong borough
State Routes	80	1609150	I-80 / SINGAC BROOK	0053.330	40.534368	-74.152776	PASSAIC	Wayne township
State Routes	80	1609153	I-80 RAMP B OVER RTE NJ 23	0053.620	40.535274	-74.151346	PASSAIC	Wayne township
State Routes	80	1609154	I-80 RAMP 'B' / SINGAC B	0053.600	40.535418	-74.150693	PASSAIC	Wayne township
State Routes	80	1609155	I-80 OVER RIVERVIEW DRIVE (CR 640)	0054.400	40.535748	-74.141727	PASSAIC	Totowa borough
State Routes	80	1609156	"RT. I-80,RAMPS E & F OVER CONRAIL"	0054.540	40.535871	-74.140825	PASSAIC	Totowa borough
State Routes	80	1609157	MINNISINK ROAD (CR 642) OVER I-80	0000.370	40.535641	-74.13546	PASSAIC	Totowa borough
State Routes	80	1609158	NJ RT 62 (UNION BLVD) OVER ROUTE I-80	0000.280	40.534734	-74.132276	PASSAIC	Totowa borough
State Routes	80	1609159	NJ ROUTE 62 (UNION BOULEVARD) OVER CONRAIL	0000.230	40.5345	-74.1324	PASSAIC	Totowa borough
State Routes	80	1610150	RT 20 OVER I-80 RAMP K	0000.570	40.540053	-74.080648	PASSAIC	Paterson city
State Routes	80	1610151	I-80 RAMP B / RT NJ 20 & RAMP A	0060.410	40.541316	-74.080569	PASSAIC	Paterson city
State Routes	80	1610152	"I-80 OVER RT.20,PASS.RIV&SLG. RD."	0060.440	40.5409	-74.08063	PASSAIC	Paterson city
State Routes	80	1610153	"RT80/PAS.RIV,RIV.VIEW DR.&MCBR.AV"	0056.290	40.534593	-74.120618	PASSAIC	Totowa borough
State Routes	80	1610155	SQUIRRELWOOD RD / I-80	0000.360	40.54141	-74.113598	PASSAIC	West Paterson borough
State Routes	80	1610156	NEW STREET (CR 633) OVER ROUTE I-80	0003.110	40.54288	-74.110174	PASSAIC	Paterson city
State Routes	80	1610157	I-80 WB & RAMP H OVER SLOPE	0058.100	40.543282	-74.104992	PASSAIC	Paterson city
State Routes	80	1610158	I-80 OVER NJ 19 and Ramp NJ 19 SB	0058.220	40.542905	-74.102849	PASSAIC	Paterson city
State Routes	80	1610159	I-80 OVER NJ TRANSIT & LOCAL STREETS	0058.500	40.54246	-74.095148	PASSAIC	Paterson city
State Routes	80	1610160	"ROUTE I-80,RMPS A&D/RMP F,BCKWTH,SVR & UTRN"	0058.870	40.542194	-74.094477	PASSAIC	Paterson city
State Routes	80	1610161	RT. I-80 EB RAMP A / FRON	0058.850	40.541871	-74.093804	PASSAIC	Paterson city
State Routes	80	1610162	RAMPS E & F / FRONTAGE R	0058.950	40.542006	-74.093352	PASSAIC	Paterson city
State Routes	80	1610163	MADISON AV-CR649/I-80&FRONTAGE RD 1.2	0000.460	40.541171	-74.093054	PASSAIC	Paterson city
State Routes	80	1610164	RAMP N / LOWER MADISON A	0059.090	40.54052	-74.093287	PASSAIC	Paterson city
State Routes	80	1610166	TRENTON AV / I-80	0000.660	40.540176	-74.085138	PASSAIC	Paterson city
State Routes	80	1610167	LAKEVIEW AV / I-80	0002.780	40.5403	-74.082799	PASSAIC	Paterson city
State Routes	80	1610168	I80 RAMP_K_ OVER RAMP _J_	0060.180	40.540465	-74.08171	PASSAIC	Paterson city
State Routes	80	1610169	I-80 RAMP G/RAMPS F&H	0060.130	40.540676	-74.08164	PASSAIC	Paterson city
State Routes	80	1610170	I-80 & RAMP G OVER I-80 RAMP E	0060.270	40.540558	-74.08147	PASSAIC	Paterson city
State Routes	80	1610171	I-80 OVER MAIN (CR 509) & MARSHALL STREETS	0058.370	40.542772	-74.101626	PASSAIC	Paterson city
State Routes	80	1610172	I-80 RAMPS M&B / MAIN(CO.RT. 509) & MARSHALL STS.	0058.360	40.542514	-74.10149	PASSAIC	Paterson city
State Routes	80	1610173	I-80 RAMP A OVER MAIN ST(CO.RTE.601)	0058.370	40.542953	-74.101491	PASSAIC	Paterson city
State Routes	80	1610174	I-80 RAMP A / I-80 RAMP FM & GRAND ST.(CO.RT. 638)	0058.220	40.54349	-74.102718	PASSAIC	Paterson city
State Routes	80	1610175	"I-80 RAMP B OVER NJ RT 19 AND RAMPS C,D,DE,FM"	0058.220	40.543548	-74.102818	PASSAIC	Paterson city
State Routes	80	1610176	I-80 RAMP C OVER RT 19 & RAMP DE	0058.220	40.543852	-74.103126	PASSAIC	Paterson city
State Routes	80	1906150	I-80 EB OVER WATERLOO ROAD (CR 604)	0022.900	40.54561	-74.455574	SUSSEX	Byram township
State Routes	80	1906151	I-80 WB OVER WATERLOO ROAD (CR 604)	0022.900	40.545694	-74.455346	SUSSEX	Byram township
State Routes	80	1906152	I-80 OVER MUSCONETCONG RIVER	0023.230	40.544836	-74.453834	SUSSEX	Byram township
State Routes	80	2114150	I-80 & SERVICE ROAD / DUNNFIELD CREEK.	0000.740	40.58147	-75.073516	WARREN	Hardwick township
State Routes	80	2114151	I-80 OVER RAMP(I-80&P.LOT OF NATIONAL RECREATION	0000.870	40.5818	-75.073	WARREN	Hardwick township
State Routes	80	2114154	ROUTE I-80 OVER CAMP WEYGANT ROAD.	0002.050	40.572522	-75.070071	WARREN	Knowlton township
State Routes	80	2114157	I-80 & CR 675 (SIMPSON ROAD) / STONEY BROOK	0003.460	40.5621	-75.061525	WARREN	Knowlton township
State Routes	80	2114160	DECATUR ST OVER ROUTE I-80	0000.000	40.554889	-75.055077	WARREN	Knowlton township
State Routes	80	2115150	RT I-80 EASTBOUND OVER RT NJ 94 SOUTHBOUND	0004.580	40.553984	-75.052886	WARREN	Knowlton township
State Routes	80	2115151	ROUTE I-80 WB OVER ROUTE NJ 94 SB.	0004.580	40.554092	-74.05279	WARREN	Knowlton township
State Routes	80	2115153	US 46 WB & NJ 94 NB OVER I-80 & RAMP 8	0000.320	40.55377	-75.051987	WARREN	Knowlton township
State Routes	80	2115154	I-80 EB OVER PAULINS KILL	0004.970	40.553762	-75.050306	WARREN	Knowlton township
State Routes	80	2115155	I-80 WB OVER PAULINS KILL	0004.970	40.553978	-75.050138	WARREN	Knowlton township
State Routes	80	2115156	I-80 EB OVER WARRINGTON ROAD (CR 605)	0006.010	40.55293	-75.04028	WARREN	Knowlton township
State Routes	80	2115157	I-80 WB OVER WARRINGTON RD (CR.605)	0006.010	40.553072	-75.040164	WARREN	Knowlton township
State Routes	80	2115158	"I-80,LINABERRY RD & RAMP/ DELAWANNA CK"	0006.400	40.552248	-75.034649	WARREN	Knowlton township
State Routes	80	2115159	ROY COOK ROAD OVER ROUTE I-80	0000.000	40.552116	-75.033071	WARREN	Knowlton township
State Routes	80	2115161	KNOWLTON ROAD (CR 616) OVER ROUTE I-80	0004.230	40.555761	-75.013484	WARREN	Knowlton township
State Routes	80	2115166	MOUNT HERMAN ROAD (CR 655) OVER I-80 EB	0003.000	40.560558	-75.005334	WARREN	Blairstown township
State Routes	80	2115167	MOUNT HERMAN ROAD (CR 655) / I-80 WB	0003.000	40.56078	-75.005442	WARREN	Blairstown township
State Routes	80	2115168	BRICK UNION RD OVER I-80EB	0000.000	40.55597	-74.59435	WARREN	Blairstown township
State Routes	80	2115169	UNION BRICK ROAD OVER I-80 WB	0000.000	40.555914	-74.594416	WARREN	Blairstown township
State Routes	80	2115170	ROUTE I-80 OVER BEAVER BROOK	0011.950	40.552886	-74.574075	WARREN	Hope township
State Routes	80	2115171	CR 521(HOPE-BLAIRSTOWN RD) / BEAVER BROOK	0000.970	40.55201	-74.573822	WARREN	Hope township
State Routes	80	2115172	I-80 EB / CR.521(BLAIRSTOWN RD)	0012.030	40.552729	-74.573538	WARREN	Hope township
State Routes	80	2115173	I-80 WB & RAMP B OVER COUNTY RT 521	0012.030	40.552856	-74.573504	WARREN	Hope township
State Routes	80	2115175	RIDGEWAY AVENUE OVER I-80	0000.000	40.5526	-74.570648	WARREN	Hope township
State Routes	80	2116150	RT I-80 EB OVER COUNTY RT 519	0012.970	40.552928	-74.563276	WARREN	Hope township
State Routes	80	2116151	RT I-80 WB OVER COUNTY RT 519	0012.970	40.553065	-74.562981	WARREN	Hope township
State Routes	80	2116152	I-80 OVER TROUT BROOK	0013.080	40.553062	-74.56219	WARREN	Hope township
State Routes	80	2116153	STATE PARK ROAD OVER I-80	0000.000	40.553151	-74.552589	WARREN	Frelinghuysen township
State Routes	80	2116154	RT I80 EB OVER SHADES OF DEATH RD	0015.870	40.55445	-74.5316	WARREN	Allamuchy township
State Routes	80	2116155	RT I-80 WB OVER SHADES OF DEATH RD	0015.870	40.553	-74.5324	WARREN	Allamuchy township
State Routes	80	2116156	I-80 OVER BEAR CREEK	0016.130	40.554005	-74.530246	WARREN	Allamuchy township
State Routes	80	2116159	PRIVATE ROAD OVER ROUTE I-80	0000.000	40.551808	-74.5124	WARREN	Allamuchy township
State Routes	80	2116160	ROUTE I-80 OVER PEQUEST RIVER	0017.990	40.551559	-74.505787	WARREN	Allamuchy township
State Routes	80	2116161	I-80 EB OVER L & H RR (ABANDONED)	0018.260	40.5512	-74.5042	WARREN	Allamuchy township
State Routes	80	2116162	I-80WB/ABAND.LEHIGH & HUDSON RR (ABAND)	0018.260	40.5512	-74.5042	WARREN	Allamuchy township
State Routes	80	2116163	I-80 EB OVER ALPHANO ROAD (CR 613)	0018.340	40.550859	-74.503695	WARREN	Allamuchy township
State Routes	80	2116164	I-80 WB OVER ALPHANO ROAD (CR 613)	0018.340	40.550993	-74.503553	WARREN	Allamuchy township
State Routes	80	2116165	CR 517 (ALLAMUCHY ROAD) OVER I-80	0020.480	40.550147	-74.485264	WARREN	Allamuchy township
State Routes	81	2019151	Rt NJ 81 ov CR 624 (North Avenue) Westbound	0000.630	40.403312	-74.112556	UNION	Elizabeth city
State Routes	81	2019152	NJ 81 over Ramp G (Dowd Ave to US 1&9)	0000.720	40.403732	-74.11288	UNION	Elizabeth city
State Routes	81	2019153	Ramp E (NJ81NB to US1&9 SB) over US1&9 and NJ81	0000.950	40.404606	-74.113301	UNION	Elizabeth city
State Routes	81	2019154	NJ 81 SB over US 1&9 (Expr. and NB Local)	0001.000	40.404822	-74.113627	UNION	Elizabeth city
State Routes	82	2012150	ROUTE NJ 82 OVER RAHWAY RIVER	0000.360	40.42288	-74.180192	UNION	Springfield township
State Routes	83	0512150	ROUTE NJ 83/PA READING R.R. (CAPE MAY BRANCH)	0000.150	39.104351	-74.490557	CAPE MAY	Dennis township
State Routes	87	0115150	RT.87/ABSECON INLET&RAMPS J&N. VERMONT AVE	0001.420	39.2306	-74.2518	ATLANTIC	Atlantic City city
State Routes	88	1514150	ROUTE NJ 88 OVER N BR OF METEDECONK RIVER	0003.550	40.045262	-74.090696	OCEAN	Lakewood township
State Routes	88	1515150	RT88 OVER BEAVER DAM CREEK	0007.600	40.04427	-74.05303	OCEAN	Brick township
State Routes	88	1515151	NJ RT 88 (SEA AVE) OVER PT PLEASANT CANAL	0008.938	40.045948	-74.040184	OCEAN	Point Pleasant borough
State Routes	90	0330150	ROUTE 90 WB OVER ROUTE 73 SB	0003.220	39.583266	-75.004261	BURLINGTON	Cinnaminson township
State Routes	90	0433153	"RAMP""F""OVER N.J 90 & RAMP ""A"""	0034.480	39.582238	-75.0158	CAMDEN	Pennsauken township
State Routes	90	0433154	CO.RT.644(HADDONFIELD RD)/N.J 90	0005.740	39.583	-75.0118	CAMDEN	Pennsauken township
State Routes	90	0433155	NJ 90 / FORK LANDING RD & SO .BR. OF PENN. CREEK	0003.110	39.583319	-75.005661	CAMDEN	
State Routes	94	1909151	ROUTE NJ 94 OVER PAULINS KILL	0027.400	41.053175	-74.412111	SUSSEX	Lafayette township
State Routes	94	1923150	NJ 94 OVER WALLKILL RIVER	0035.310	41.090889	-74.34538	SUSSEX	Hamburg borough
State Routes	94	1923151	ROUTE NJ 94 OVER ABANDONED HANFORD BRANCH	0035.490	41.091065	-74.344114	SUSSEX	Hamburg borough
State Routes	94	2117154	NJ 94 OVER YARD'S CREEK	0003.080	40.572344	-75.033442	WARREN	Knowlton township
State Routes	94	2117157	NJ 94 OVER JACKSONBURG CREEK	0007.950	40.591518	-74.584362	WARREN	Blairstown township
State Routes	94	2117159	NJ 94 OVER BLAIR CREEK.	0009.040	40.585441	-74.573553	WARREN	Blairstown township
State Routes	94	2117160	ROUTE NJ 94 OVER PAULINS KILL	0009.160	40.585361	-74.572865	WARREN	Blairstown township
State Routes	94	2117161	ROUTE NJ 94 OVER ABANDONED NYS&W RR	0009.260	40.585175	-74.572225	WARREN	Blairstown township
State Routes	95	0229157	I-95 RAMP B OVER TEANECK CREEK	0073.970	40.520354	-74.002082	BERGEN	Teaneck township
State Routes	95	0229160	I-95 RAMP N OVER US 46	0072.310	40.504992	-74.010918	BERGEN	Ridgefield Park village
State Routes	95	1120150	"I-95 OVER NJ 29 NB, NJ 175 and D&R Canal"	0000.210	40.1542	-74.5036	MERCER	Ewing township
State Routes	95	1120151	BEAR TAVERN RD (CR 579)OVER I-95	0003.110	40.1636	-74.4942	MERCER	Ewing township
State Routes	95	1120152	I-95 OVER EWING CREEK	0002.370	40.1706	-74.4906	MERCER	Ewing township
State Routes	95	1120153	SCOTCH RD (CO RT 611) / RT I-95	0002.200	40.1724	-74.4842	MERCER	Hopewell township
State Routes	95	1120154	SCOTCH ROAD (CR 611)OVER EWING CREEK	0002.830	40.1712	-74.4842	MERCER	Ewing township
State Routes	95	1120157	LOWER FERRY ROAD OVER I-95	0004.060	40.1724	-74.4754	MERCER	Ewing township
State Routes	95	1120160	NJ 31 (PENNINGTON RD) OVER I-95	0004.840	40.1724	-74.4706	MERCER	Hopewell township
State Routes	95	1120164	I-95 NB OVER SHABAKUNK CREEK BRANCH	0005.250	40.173	-74.4606	MERCER	Hopewell township
State Routes	95	1138171	"PRINCETON PIKE OVER I-95,RAMPS B; D"	0004.020	40.1712	-74.4154	MERCER	Lawrence township
State Routes	95	1138172	I-95 SB/FRANKLIN CORNER ROAD (CR 546)	0007.570	40.170858	-74.43282	MERCER	Lawrence township
State Routes	95	1138173	I 95 NB / FRANKLIN CORNER RD (CR 546)	0007.570	40.17	-74.433	MERCER	Lawrence township
State Routes	95	1138174	US RT 206 OVER I-95	0048.010	40.17076	-74.43567	MERCER	Lawrence township
State Routes	95	1138175	FEDERAL CITY ROAD OVER RT I-95	0001.090	40.1718	-74.4536	MERCER	Lawrence township
State Routes	109	0501150	NJ 109 / CAPE MAY CANAL & SERV RD	0001.820	38.571397	-74.542092	CAPE MAY	Lower township
State Routes	120	0212154	NJ 120 (PAT PLANK RD) / NJ TRANSIT & 13TH ST	0002.570	40.495697	-74.051295	BERGEN	East Rutherford borough
State Routes	120	0219150	RAMP TO NJ 120 NB / NJ 3 EB & NJ 120 SB	0008.080	40.481164	-74.0424	BERGEN	East Rutherford borough
State Routes	120	0219151	NJ 120 SB & RAMPS OVER NJ 3 WB	0000.000	40.48196	-74.04258	BERGEN	East Rutherford borough
State Routes	120	0219152	RT 120 NB & RAMP A SB / CR 503 (WASH. AVE.)	0001.030	40.49012	-74.035946	BERGEN	East Rutherford borough
State Routes	120	0238150	NJ 120 (PATERSON PLANK RD)/BERRY'S CREEK	0002.070	40.49409	-74.04459	BERGEN	East Rutherford borough
State Routes	124	0733160	RT NJ 124 EB & RT NJ 24 RAMP D OVER JFK PKWY	0007.440	40.441959	-74.221173	ESSEX	Millburn township
State Routes	124	1406157	ROUTE NJ 124 EB OVER PASSAIC RIVER	0007.340	40.442124	-74.221884	MORRIS	Chatham borough
State Routes	124	1406158	ROUTE NJ 124 WB OVER PASSAIC RIVER	0007.340	40.442155	-74.221897	MORRIS	Chatham borough
State Routes	124	2005150	NJ 124 OVER RAHWAY RIVER	0011.920	40.424349	-74.17586	UNION	Springfield township
State Routes	124	2005151	"NJ 124 / I-78 EXPRESS, I-78 EB LOCAL & RAMP ED"	0012.100	40.4248	-74.17523	UNION	Springfield (CDP)
State Routes	124	2005152	RT NJ 124 OVER VAN WINKLE CREEK	0011.160	40.424021	-74.18418	UNION	Springfield township
State Routes	129	1140150	SOUTH BROAD STREET(US206) OVER N.J.ROUTE 129	0041.950	40.13	-74.4542	MERCER	Trenton city
State Routes	129	1140151	ROUTE NJ 129 NB / AMTRAK	0002.310	40.125741	-74.452482	MERCER	Trenton city
State Routes	129	1140152	ROUTE NJ 129 SB OVER RT US 1 & AMTRAK	0002.310	40.125562	-74.452634	MERCER	Trenton city
State Routes	129	1140153	"NJ 129 NB CONNECTOR OVER US 1 RAMP ""G"""	0002.350	40.125925	-74.45252	MERCER	Trenton city
State Routes	129	1140155	NJ RT. 129 SB CONNECTOR / MARKET ST.	0002.350	40.13042	-74.45282	MERCER	Trenton city
State Routes	130	0316150	US 130 OVER POMPESTON CREEK	0037.840	40.00119	-74.585793	BURLINGTON	Cinnaminson township
State Routes	130	0316152	US RT 130 OVER RANCOCAS CREEK	0041.050	40.014357	-74.555644	BURLINGTON	Delran township
State Routes	130	0316157	US 130/RELCTD BRIDGEBORO ST.(CO.613)	0040.860	40.013634	-74.560467	BURLINGTON	Delran township
State Routes	130	0317150	RT US 130 NB OVER ASSISCUNK CREEK	0046.650	40.042768	-74.505337	BURLINGTON	Burlington city
State Routes	130	0317152	US 130 SB OVER ASSISCUNK CREEK	0046.650	40.042814	-74.505628	BURLINGTON	Burlington city
State Routes	130	0317155	US RT.130 OVER CRAFTS CREEK	0051.620	40.064512	-74.461098	BURLINGTON	Florence township
State Routes	130	0317160	U.S.ROUTE 130 OVER BLACK_S CREEK	0055.160	40.081428	-74.424014	BURLINGTON	Bordenton township
State Routes	130	0319152	US RT. 130 OVER CROSS WICKS CREEK	0058.280	40.102508	-74.40459	BURLINGTON	Bordenton township
State Routes	130	0419151	US RT 130 / LITTLE TIMBER CREEK	0026.470	39.5254	-75.0642	CAMDEN	Gloucester City city
State Routes	130	0420150	ROUTE US 130 OV S. BRANCH NEWTON CREEK	0027.500	39.5332	-75.0611	CAMDEN	Gloucester City city
State Routes	130	0420151	ROUTE US 130 OVER MAIN BRANCH NEWTON CREEK	0028.000	39.5356	-75.0559	CAMDEN	Haddon township
State Routes	130	0421151	CHAMPION AVENUE OVER U.S.RTE.130	0000.000	39.54393	-75.05356	CAMDEN	Collingswood borough
State Routes	130	0422153	FEDERAL ST. (CO. 537) OVER US 130	0003.460	39.565987	-75.035764	CAMDEN	Pennsauken township
State Routes	130	0422156	US RTE 130 / NO.BR.PENNSAUKEN CRK	0035.720	39.59063	-75.005341	CAMDEN	Pennsauken township
State Routes	130	0422158	RAMP E OVER US. ROUTE 130 NB.	0002.090	39.5812	-75.02	CAMDEN	Pennsauken township
State Routes	130	0422159	RAMP E TO ROUTE 130 SB OVER RAMPS A&D	0034.580	39.5812	-75.02	CAMDEN	Pennsauken township
State Routes	130	0422160	"RAMP ""G""OVER ROUTE 130 SB"	0034.850	39.5836	-75.013	CAMDEN	Pennsauken township
State Routes	130	0817150	ROTE US 130 OVER BIG BIRCH CREEK	0009.950	39.472548	-75.231374	GLOUCESTER	Logan township
State Routes	130	0817151	RT US 130 OVER RACCOON CREEK	0011.800	39.48032	-75.21222	GLOUCESTER	Logan township
State Routes	130	0817152	"130 NB/44,CEDAR SWAMP RD&CONRAIL"	0013.460	39.481039	-75.192878	GLOUCESTER	Logan township
State Routes	130	0817153	"ROUTE US 130 SB OV RT NJ 44, CEDAR SWAMP, CSX RR"	0013.460	39.4811	-75.1926	GLOUCESTER	Logan township
State Routes	130	0817156	SPRINGERS ROAD OVER US 130	0000.000	39.480967	-75.202874	GLOUCESTER	Logan township
State Routes	130	0818150	ROUTE US 130 NB OVER ROUTE NJ 45 SB	0025.110	39.5213	-75.0747	GLOUCESTER	Westville borough
State Routes	130	0818151	ROUTE US 130 OVER BIG TIMBER CREEK	0025.470	39.522765	-75.073566	GLOUCESTER	Westville borough
State Routes	130	1114151	US 130 & NJ 33 OVER  ASSUNPINK CREEK	0064.950	40.1412	-74.3506	MERCER	Washington township
State Routes	130	1122150	US 130 OVER DOCTOR'S CREEK	0058.520	40.103	-74.4036	MERCER	Hamilton township
State Routes	130	1122151	GROVEVILLE ROAD OVER U.S.RTE 130	0000.240	40.10338	-74.40229	MERCER	Hamilton township
State Routes	130	1122152	SOUTH BROAD STREET(CR 672)/RTE US 130	0001.970	40.103918	-74.401158	MERCER	Hamilton township
State Routes	130	1122153	US 130 OVER BACK BROOK	0060.050	40.1118	-74.3912	MERCER	Hamilton township
State Routes	130	1122156	YRDVILLE-ALLENTWN RD(CR524)/US130	0002.180	40.1042	-74.4008	MERCER	Hamilton township
State Routes	130	1123152	US 130 OVER ROCKY BROOK	0068.920	40.163696	-74.320324	MERCER	East Windsor township
State Routes	130	1123153	RT US 130 OVER MILLSTONE RIVER	0070.040	40.172443	-74.311881	MERCER	East Windsor township
State Routes	130	1227151	ROUTE US 130 OVER BRAINERD LAKE	0071.610	40.183757	-74.303467	MIDDLESEX	Cranbury township
State Routes	130	1227155	US 130 OVER CONRAIL JAMESBURG BRANCH	0075.560	40.215544	-74.295328	MIDDLESEX	South Brunswick township
State Routes	130	1227156	US-130 OVER RIDGE RD (CR22)	0076.100	40.222392	-74.300254	MIDDLESEX	South Brunswick township
State Routes	130	1227157	US 130 OVER BRANCH LAWRENCE BROOK	0077.530	40.2336	-74.3024	MIDDLESEX	South Brunswick township
State Routes	130	1227158	US 130 OVER DAVIDSON MILL POND (LAWRENCE BRK RES.)	0078.380	40.405233	-74.507926	MIDDLESEX	South Brunswick township
State Routes	130	1227159	ROUTE US 130 OVER OAKLEYS BROOK	0079.150	40.245844	-74.300678	MIDDLESEX	North Brunswick township
State Routes	130	1227163	NJ 171 NB OVER US 1 & US 130 (CONNECTORS A & B)	0000.280	40.2744	-74.2722	MIDDLESEX	
State Routes	130	1227164	US RT. 130 SB OVER US RT. 1	0083.460	40.274675	-74.272025	MIDDLESEX	North Brunswick township
State Routes	130	1227165	RAMP (FROM US-1) OVER US-130 NB AND US-130 SB	0024.640	40.273972	-74.271819	MIDDLESEX	North Brunswick township
State Routes	130	1710150	ROUTE US 130 OVER SALEM CANAL	0000.140	39.405445	-75.292958	SALEM	Pennsville township
State Routes	130	1710152	US130 OVER OLDMANS CREEK	0008.840	39.47046	-75.24252	SALEM	Oldmans township
State Routes	133	1143165	NJ RT 133 OVER TRIBUTARY OF MILLSTONE RIVER	0000.420	40.1703	-74.3305	MERCER	East Windsor township
State Routes	133	1143166	RT. 133 EB OVER ONE MILE ROAD	0000.720	40.1648	-74.3242	MERCER	East Windsor township
State Routes	133	1143167	NJ RTE 133 WB OVER ONE MILE ROAD	0000.720	40.1648	-74.3242	MERCER	East Windsor township
State Routes	133	1143168	ROUTE 133 EB OVER ROCKY BROOK	0001.220	40.1712	-74.3224	MERCER	East Windsor township
State Routes	133	1143169	ROUTE NJ 133 WESTBOUND OVER ROCKY BROOK	0001.220	40.165795	-74.321372	MERCER	East Windsor township
State Routes	133	1143170	ROUTE NJ 133 EASTBOUND OVER ROUTE US 130	0001.610	40.16564	-74.314698	MERCER	East Windsor township
State Routes	133	1143171	ROUTE 133 WB OVER ROUTE 130	0001.610	40.1718	-74.313	MERCER	East Windsor township
State Routes	133	1143172	ROUTE 133EB OVER NORTH MAIN STREET	0002.060	40.1624	-74.3118	MERCER	East Windsor township
State Routes	133	1143173	ROUTE 133WB OVER NORTH MAIN STREET	0002.060	40.1624	-74.3118	MERCER	East Windsor township
State Routes	133	1143174	ROUTE 133 EB OVER WYCKOFFS MILL ROAD	0002.750	40.163	-74.303	MERCER	East Windsor township
State Routes	133	1143175	ROUTE 133 WB OVER WYCKOFFS MILL ROAD	0002.750	40.163	-74.303	MERCER	East Windsor township
State Routes	133	1143176	NJ 133 EB OVER NEW JERSEY TURNPIKE	0004.764	40.163026	-74.302605	MERCER	East Windsor township
State Routes	133	1143177	NJ 133 WB OVER NEW JERSEY TURNPIKE	0004.764	40.1631	-74.302659	MERCER	East Windsor township
State Routes	138	1317150	NJ 138 OVER N.BR OF WRECK POND	0001.460	40.1018	-74.0442	MONMOUTH	Wall township
State Routes	138	1317152	"NJ RT. 138EB/GSP SB AND RAMPS A,D & J"	0000.280	40.101209	-74.060531	MONMOUTH	Wall township
State Routes	138	1317154	NJ RT.138EB/GSP NB AND RAMPS F & I	0000.360	40.10123	-74.055973	MONMOUTH	Wall township
State Routes	138	1317156	RT 138 EB OVER RT 18 FREEWAY	0001.840	40.101553	-74.041794	MONMOUTH	Wall township
State Routes	138	1317157	RT 138 WB OVER RT 18 FREEWAY	0001.840	40.101697	-74.041848	MONMOUTH	Wall township
State Routes	138	1317158	RT 138 EB OVER RT 35	0003.340	40.10246	-74.023855	MONMOUTH	Wall township
State Routes	138	1317159	NJ 35 WB RAMP OVER NJ 35 & NJ 138 EB	0020.310	40.102685	-74.023305	MONMOUTH	Wall township
State Routes	139	0904150	CR 501 (JFK BLVD) OVER NJ 139	0031.110	40.442064	-74.03444	HUDSON	Jersey City city
State Routes	139	0904151	NJ 139/ABANDONED ERIE LACKAWANNA RR	0000.350	40.441956	-74.034188	HUDSON	Jersey City city
State Routes	139	0904152	NJ ROUTE 139 DEPRESSED ROADWAY	0000.420	40.4419	-74.033887	HUDSON	Jersey City city
State Routes	139	0904153	NJ 139 EB - 12TH STREET VIADUCT	0001.057	40.43524	-74.030694	HUDSON	Jersey City city
State Routes	139	0904154	NJ 139 WB - 14TH ST VIADCT / COLES ST/I-78 WB	0001.057	40.435316	-74.030629	HUDSON	Jersey City city
State Routes	147	0517150	ROUTE NJ 147 OVER MILL TRAIL CREEK	0001.000	39.022268	-74.500444	CAPE MAY	Middle township
